Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Flash Card Reader Product\Card_Reader\Project Outputs for Card_Reader\Pick Place\Pick Place for PCB_Design.csv

========================================================================================================================
File Design Information:

Date:       12-04-25
Time:       09:41
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U8","QRE1113GR","TopLayer","QRE1113GR","1400.000","2960.000","0","Undefined or Miscellaneous"
"U7","QRE1113GR","TopLayer","QRE1113GR","1000.000","2960.000","0","Undefined or Miscellaneous"
"U6","QRE1113GR","TopLayer","QRE1113GR","600.000","2960.000","0","Undefined or Miscellaneous"
"U5","QRE1113GR","TopLayer","QRE1113GR","200.000","2960.000","0","Undefined or Miscellaneous"
"U4","QRE1113GR","TopLayer","QRE1113GR","2980.000","2960.000","0","Undefined or Miscellaneous"
"U3","QRE1113GR","TopLayer","QRE1113GR","2600.000","2960.000","0","Undefined or Miscellaneous"
"U2","QRE1113GR","TopLayer","QRE1113GR","2200.000","2960.000","0","Undefined or Miscellaneous"
"U1","QRE1113GR","TopLayer","QRE1113GR","1800.000","2960.000","0","Undefined or Miscellaneous"
"S2","RESET","TopLayer","414375652","2880.000","1930.000","90","Switch"
"S1","BOOT","TopLayer","414375652","2260.000","1930.000","90","Switch"
"R32","1K","TopLayer","RESC1608X55N","860.000","910.000","0","Resistor"
"R31","1K","TopLayer","RESC1608X55N","500.000","1520.000","0","Resistor"
"R30","10K","TopLayer","RESC1608X55N","2140.000","950.000","0","Resistor"
"R29","1K","TopLayer","RESC1608X55N","200.000","980.000","180","Resistor"
"R28","1K","TopLayer","RESC1608X55N","200.000","800.000","180","Resistor"
"R27","100R","TopLayer","RESC2013X65N","118.000","1510.000","180","Resistor"
"R26","10K","TopLayer","RESC1608X55N","1160.000","440.000","0","Resistor"
"R25","10K","TopLayer","RESC1608X55N","943.000","229.000","180","Resistor"
"R24","5K1","TopLayer","RESC1608X55N","620.000","490.000","90","Resistor"
"R23","5K1","TopLayer","RESC1608X55N","240.000","490.000","90","Resistor"
"R22","10K","TopLayer","RESC1608X55N","2717.008","480.000","180","Resistor"
"R21","10K","TopLayer","RESC1608X55N","2848.504","480.000","180","Resistor"
"R20","10K","TopLayer","RESC1608X55N","2850.000","630.000","180","Resistor"
"R19","10K","TopLayer","RESC1608X55N","2720.000","630.000","180","Resistor"
"R18","10K","TopLayer","RESC1608X55N","2750.000","80.000","180","Resistor"
"R17","220R","TopLayer","RESC1608X55N","1490.000","2640.000","0","Resistor"
"R16","220R","TopLayer","RESC1608X55N","1088.818","2640.000","0","Resistor"
"R15","100R","TopLayer","RESC2013X65N","1350.000","2680.000","90","Resistor"
"R14","220R","TopLayer","RESC1608X55N","690.000","2650.000","0","Resistor"
"R13","100R","TopLayer","RESC2013X65N","938.818","2680.000","90","Resistor"
"R12","220R","TopLayer","RESC1608X55N","280.000","2640.000","0","Resistor"
"R11","100R","TopLayer","RESC2013X65N","540.000","2682.598","90","Resistor"
"R10","100R","TopLayer","RESC2013X65N","140.000","2680.000","90","Resistor"
"R9","220R","TopLayer","RESC1608X55N","3060.000","2630.000","0","Resistor"
"R8","220R","TopLayer","RESC1608X55N","2670.000","2640.000","0","Resistor"
"R7","100R","TopLayer","RESC2013X65N","2920.000","2670.000","90","Resistor"
"R6","220R","TopLayer","RESC1608X55N","2270.000","2640.000","0","Resistor"
"R5","100R","TopLayer","RESC2013X65N","2530.000","2682.598","90","Resistor"
"R4","220R","TopLayer","RESC1608X55N","1880.000","2630.000","0","Resistor"
"R3","100R","TopLayer","RESC2013X65N","2130.000","2680.000","90","Resistor"
"R2","100R","TopLayer","RESC2013X65N","1740.000","2672.598","90","Resistor"
"R1","10K","TopLayer","RESC1608X55N","2200.000","240.000","270","Resistor"
"Q1","FS8205A","TopLayer","SOP65P640X120-8N","350.000","1290.000","0","Transistor"
"LS1","CVS-1508","TopLayer","SPKR_CVS-1508","2800.000","1060.000","0","15 mm, Round Frame, 0.3 W, 8 Ohm, Neodymium Magnet, Mylar Cone"
"LED2","STB","TopLayer","LEDC1608X80N","190.000","1060.000","180","LED"
"LED1","CHG","TopLayer","LEDC1608X80N","190.000","890.000","0","LED"
"J3","BAT","TopLayer","SHDR2W64P0X250_1X2_740X575X700P","180.787","2000.000","0","Connector"
"J2","TP4056","TopLayer","SOIC127P600X175-9N","540.000","1000.000","180","Connector"
"J1","TYPE-C-31-M-12","TopLayer","HRO_TYPE-C-31-M-12","360.000","203.504","0","USB Connectors 24 Receptacle 1 8.94*7.3mm RoHS"
"IC5","DW01A-G","TopLayer","SOT95P190X145-6N","341.496","1482.598","180","Integrated Circuit"
"","MCP4706A0T-E_CH","TopLayer","SOT95P270X145-6N","930.000","400.000","0","Integrated Circuit"
"IC3","LM4890MM","TopLayer","SOP65P490X110-8N","2790.000","250.000","180","Integrated Circuit"
"s","AMS1117-3.3","TopLayer","SOT229P700X180-4N","620.000","2000.000","180","Integrated Circuit"
"IC1","ESP32-C3-MINI-1-N4","TopLayer","ESP32C3MINI1N4","1600.000","230.000","180","Integrated Circuit"
"D4","LESD5D5.0CT1G","TopLayer","LESD5D50CT1G","350.000","490.000","90","TVS Diode (Bi-directional)"
"D3","LESD5D5.0CT1G","TopLayer","LESD5D50CT1G","480.000","490.000","90","TVS Diode (Bi-directional)"
"D2","LESD5D5.0CT1G","TopLayer","LESD5D50CT1G","130.000","490.000","270","TVS Diode (Bi-directional)"
"D1","B5819W","TopLayer","SOD3716X135N","400.000","730.000","0","Diode"
"C26","10uF","TopLayer","CAPC1608X95N","180.000","1150.000","180","Capacitor"
"C25","0.1uF","TopLayer","GRM033D70J224ME01D","192.000","1674.000","0","Capacitor"
"C24","10uF","TopLayer","CAPC1608X95N","860.001","1090.000","0","Capacitor"
"C23","10uF","TopLayer","CAPC1608X95N","1160.000","220.000","180","Capacitor"
"C22","1uF","TopLayer","CAPC1608X90N","1157.001","83.000","180","Capacitor"
"C21","0.1uF","TopLayer","GRM033D70J224ME01D","780.000","419.999","270","Capacitor"
"C20","0.1uF","TopLayer","GRM033D70J224ME01D","2480.000","450.670","90","Capacitor"
"C19","1uF","TopLayer","CAPC1608X90N","3010.000","260.000","270","Capacitor"
"C18","0.1uF","TopLayer","GRM033D70J224ME01D","2480.000","120.670","270","Capacitor"
"C17","0.1uF","TopLayer","GRM033D70J224ME01D","2440.000","1610.000","90","Capacitor"
"C16","0.1uF","TopLayer","GRM033D70J224ME01D","3080.000","1610.000","90","Capacitor"
"C15","10uF","TopLayer","CAPC1608X95N","2390.000","130.670","270","Capacitor"
"C14","10nF","TopLayer","CAPC1005X55N","1420.000","2570.000","180","Capacitor"
"C13","10nF","TopLayer","CAPC1005X55N","1020.708","2570.000","180","Capacitor"
"C12","10nF","TopLayer","CAPC1005X55N","591.890","2570.000","180","Capacitor"
